,Laptop,ItexvsCypress,IS_BT_Acquisition,Grocery,thompson,Car,EnergySmall_A,Average
Boulware-Boulware,71.058,71.233,70.270,71.728,71.083,64.680,72.190,70.320
Boulware-Conceder,56.428,60.418,60.678,66.863,65.045,54.330,67.465,61.604
Boulware-Linear,60.426,65.900,64.294,67.940,66.185,56.005,68.688,64.205
Boulware-Atlas3,63.162,65.496,62.178,67.920,65.675,55.585,67.477,63.928
Conceder-Conceder,6.096,11.244,6.516,9.710,7.100,4.075,8.420,7.594
Conceder-Linear,18.366,30.924,23.418,32.410,26.080,18.670,34.265,26.305
Conceder-Atlas3,19.218,38.184,19.974,37.145,37.960,25.585,40.840,31.272
Linear-Linear,37.518,43.062,39.600,38.860,43.325,30.170,44.825,39.623
Linear-Atlas3,37.038,42.426,34.128,43.785,43.330,35.440,44.915,40.152
Atlas3-Atlas3,42.330,46.938,30.582,46.520,46.510,41.795,46.855,43.076
Average,41.164,47.583,41.164,48.288,47.229,38.634,49.594,44.808
