,Coffee,Camera,Lunch,SmartPhone,Kitchen,Average
Boulware-Boulware,1.586,1.373,1.730,1.691,2.386,1.753
Boulware-Conceder,1.734,1.487,1.733,1.738,2.343,1.807
Boulware-Linear,1.785,1.516,1.747,1.727,2.363,1.828
Boulware-Atlas3,1.748,1.491,1.731,1.737,2.360,1.813
Conceder-Conceder,1.851,1.610,1.763,1.745,2.330,1.860
Conceder-Linear,1.922,1.585,1.759,1.758,2.410,1.887
Conceder-Atlas3,1.897,1.439,1.735,1.665,2.400,1.827
Linear-Linear,1.849,1.643,1.777,1.815,2.451,1.907
Linear-Atlas3,1.768,1.505,1.734,1.681,2.432,1.824
Atlas3-Atlas3,1.831,1.402,1.706,1.601,2.402,1.789
Average,1.797,1.505,1.742,1.716,2.388,1.829
