,Laptop,ItexvsCypress,IS_BT_Acquisition,Grocery,thompson,Car,EnergySmall_A,Average
Boulware-Boulware,2.445,2.036,2.575,2.082,1.807,2.259,1.342,2.078
Boulware-Conceder,2.342,1.997,2.528,2.189,1.775,2.223,1.527,2.083
Boulware-Linear,2.390,2.084,2.577,2.200,1.817,2.261,1.655,2.141
Boulware-Atlas3,2.406,1.971,2.553,2.117,1.795,2.242,1.654,2.105
Conceder-Conceder,2.455,2.256,2.616,2.457,1.979,2.403,1.810,2.282
Conceder-Linear,2.455,2.278,2.673,2.493,1.993,2.417,1.711,2.289
Conceder-Atlas3,2.455,2.126,2.696,2.411,1.912,2.381,1.625,2.230
Linear-Linear,2.463,2.277,2.702,2.492,1.909,2.399,1.609,2.264
Linear-Atlas3,2.462,2.147,2.714,2.525,1.818,2.331,1.554,2.222
Atlas3-Atlas3,2.452,2.014,2.736,2.424,1.709,2.221,1.450,2.144
Average,2.432,2.119,2.637,2.339,1.851,2.314,1.594,2.184
