,Laptop,ItexvsCypress,IS_BT_Acquisition,Grocery,thompson,Car,EnergySmall_A,Average
Boulware-Boulware,86.833%,91.333%,99.000%,93.333%,99.833%,100.000%,99.500%,95.690%
Boulware-Conceder,88.667%,99.833%,100.000%,98.333%,100.000%,100.000%,100.000%,98.119%
Boulware-Linear,89.667%,98.167%,99.833%,96.500%,99.833%,100.000%,99.833%,97.690%
Boulware-Atlas3,90.333%,98.500%,100.000%,97.500%,99.833%,100.000%,99.667%,97.976%
Conceder-Conceder,99.833%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,99.976%
Conceder-Linear,97.833%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,99.690%
Conceder-Atlas3,99.333%,100.000%,100.000%,100.000%,100.000%,99.667%,100.000%,99.857%
Linear-Linear,96.500%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,99.500%
Linear-Atlas3,97.167%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,99.595%
Atlas3-Atlas3,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%
Average,94.617%,98.783%,99.883%,98.567%,99.950%,99.967%,99.900%,98.810%
