,Laptop,ItexvsCypress,IS_BT_Acquisition,Grocery,thompson,Car,EnergySmall_A,Average
Boulware-Boulware,0.534,0.276,0.632,0.351,0.206,0.415,0.119,0.362
Boulware-Conceder,0.451,0.217,0.582,0.339,0.188,0.386,0.115,0.325
Boulware-Linear,0.486,0.304,0.623,0.366,0.198,0.405,0.142,0.361
Boulware-Atlas3,0.496,0.220,0.603,0.335,0.179,0.396,0.136,0.338
Conceder-Conceder,0.532,0.405,0.659,0.535,0.270,0.482,0.223,0.444
Conceder-Linear,0.532,0.409,0.703,0.557,0.260,0.490,0.156,0.444
Conceder-Atlas3,0.532,0.322,0.723,0.492,0.222,0.465,0.133,0.413
Linear-Linear,0.549,0.429,0.729,0.570,0.257,0.498,0.149,0.454
Linear-Atlas3,0.549,0.342,0.739,0.593,0.209,0.460,0.126,0.431
Atlas3-Atlas3,0.538,0.261,0.757,0.532,0.168,0.398,0.101,0.393
Average,0.520,0.319,0.675,0.467,0.216,0.440,0.140,0.397
