,Laptop,ItexvsCypress,IS_BT_Acquisition,Grocery,thompson,Car,EnergySmall_A,Average
Boulware-Boulware,0.788,0.552,0.814,0.632,0.531,0.718,0.374,0.630
Boulware-Conceder,0.671,0.634,0.764,0.616,0.526,0.795,0.438,0.635
Boulware-Linear,0.691,0.649,0.798,0.622,0.550,0.687,0.478,0.639
Boulware-Atlas3,0.704,0.567,0.765,0.621,0.556,0.694,0.500,0.630
Conceder-Conceder,0.965,0.828,0.926,0.945,0.834,0.921,0.680,0.871
Conceder-Linear,0.779,0.752,0.874,0.833,0.696,0.823,0.572,0.761
Conceder-Atlas3,0.779,0.720,0.894,0.783,0.640,0.821,0.590,0.747
Linear-Linear,0.785,0.724,0.870,0.796,0.572,0.741,0.457,0.707
Linear-Atlas3,0.787,0.716,0.871,0.799,0.598,0.721,0.475,0.710
Atlas3-Atlas3,0.741,0.674,0.874,0.774,0.603,0.700,0.493,0.694
Average,0.769,0.681,0.845,0.742,0.611,0.762,0.506,0.702
