,Coffee,Camera,Lunch,SmartPhone,Kitchen,Average
Boulware-Boulware,0.390,0.387,0.506,0.498,0.776,0.511
Boulware-Conceder,0.432,0.444,0.494,0.523,0.772,0.533
Boulware-Linear,0.443,0.443,0.506,0.508,0.771,0.534
Boulware-Atlas3,0.442,0.436,0.511,0.511,0.774,0.535
Conceder-Conceder,0.487,0.446,0.515,0.499,0.779,0.545
Conceder-Linear,0.536,0.429,0.499,0.509,0.739,0.542
Conceder-Atlas3,0.529,0.438,0.533,0.507,0.742,0.550
Linear-Linear,0.441,0.456,0.502,0.512,0.779,0.538
Linear-Atlas3,0.443,0.424,0.507,0.500,0.784,0.531
Atlas3-Atlas3,0.501,0.448,0.534,0.494,0.778,0.551
Average,0.464,0.435,0.511,0.506,0.770,0.537
