,Coffee,Camera,Lunch,SmartPhone,Kitchen,Average
Boulware-Boulware,0.195,0.124,0.188,0.189,0.494,0.238
Boulware-Conceder,0.169,0.120,0.179,0.193,0.467,0.226
Boulware-Linear,0.195,0.128,0.186,0.191,0.480,0.236
Boulware-Atlas3,0.181,0.117,0.182,0.190,0.478,0.230
Conceder-Conceder,0.215,0.151,0.197,0.193,0.458,0.243
Conceder-Linear,0.236,0.137,0.192,0.191,0.507,0.253
Conceder-Atlas3,0.223,0.107,0.183,0.168,0.498,0.236
Linear-Linear,0.211,0.161,0.201,0.217,0.539,0.266
Linear-Atlas3,0.187,0.120,0.183,0.177,0.528,0.239
Atlas3-Atlas3,0.205,0.099,0.175,0.153,0.507,0.228
Average,0.202,0.126,0.187,0.186,0.496,0.239
